iter	Logloss
0	0.6861634864
1	0.6802761649
2	0.6745234844
3	0.6693773232
4	0.6628685833
5	0.6572098313
6	0.6516398196
7	0.6455882262
8	0.6396865853
9	0.6342668703
10	0.6282907269
11	0.6224249632
12	0.6178669572
13	0.6138445929
14	0.6112188346
15	0.6072903608
16	0.6035166081
17	0.598958473
18	0.5948440751
19	0.5909777597
20	0.5872951869
21	0.5826631066
22	0.5784567764
23	0.5745350028
24	0.5706441193
25	0.5672399683
26	0.5652845352
27	0.5615335707
28	0.5596670771
29	0.556661615
30	0.5532858107
31	0.5510028784
32	0.54717937
33	0.5442571142
34	0.5409788728
35	0.5392860164
36	0.5359401624
37	0.5325809589
38	0.5293712995
39	0.5268668821
40	0.5243945564
41	0.5212810146
42	0.5183694129
43	0.5153314864
44	0.5123409872
45	0.5099190019
46	0.5073448945
47	0.5047493874
48	0.5018257973
49	0.5002569511
50	0.4974520414
51	0.4955592081
52	0.4930958804
53	0.492020332
54	0.4897962105
55	0.4882616486
56	0.4865212135
57	0.4845298302
58	0.4823840169
59	0.4800827178
60	0.4782235596
61	0.4766710475
62	0.4745315006
63	0.4726078667
64	0.4708471766
65	0.469285146
66	0.4673768834
67	0.4658442844
68	0.464225581
69	0.4625552373
70	0.4614392374
71	0.4597088831
72	0.4579566423
73	0.4560380386
74	0.454398536
75	0.4528462783
76	0.4516154189
77	0.4501965962
78	0.4496471523
79	0.4482980499
80	0.4468154613
81	0.4462504774
82	0.4454404819
83	0.4443569473
84	0.443255407
85	0.4418925315
86	0.4405750061
87	0.4391648772
88	0.4380577985
89	0.4370689683
90	0.4363840782
91	0.4356935839
92	0.4345419213
93	0.4338571085
94	0.433375859
95	0.4325417622
96	0.431834554
97	0.4309741101
98	0.4301043496
99	0.4293753094
100	0.4283070286
101	0.4273351083
102	0.4263078972
103	0.4251020551
104	0.424239999
105	0.4236423202
106	0.4227267201
107	0.421853565
108	0.4211544906
109	0.420195355
110	0.4193921733
111	0.4186314272
112	0.4176363179
113	0.416894227
114	0.4164678667
115	0.4153807272
116	0.4145950191
117	0.4137496908
118	0.4130269769
119	0.4125244169
120	0.4115760797
121	0.4111558662
122	0.4103539684
123	0.4096523808
124	0.4090013681
125	0.4083599864
126	0.4080388052
127	0.4078063516
128	0.407489385
129	0.4070556519
130	0.4066563147
131	0.4059017161
132	0.4054746477
133	0.4048592709
134	0.4045281827
135	0.403944932
136	0.403345869
137	0.402707343
138	0.4024077502
139	0.4021287764
140	0.4016553571
141	0.4011250625
142	0.4005314603
143	0.4000114779
144	0.3994488115
145	0.3988348391
146	0.3982968468
147	0.397621634
148	0.3973501836
149	0.3969881174
150	0.3964982914
151	0.3960128954
152	0.395546019
153	0.3954836522
154	0.39493069
155	0.394634199
156	0.3944095074
157	0.3939486422
158	0.3934046231
159	0.3930026276
160	0.3926798917
161	0.392269173
162	0.3920598427
163	0.3915696599
164	0.3914477432
165	0.3912438559
166	0.3908452645
167	0.3904844624
168	0.3903900769
169	0.3899373268
170	0.3894367798
171	0.3889826159
172	0.388646693
173	0.3882243045
174	0.387738596
175	0.3872304318
176	0.3867305907
177	0.3863297553
178	0.3861606434
179	0.3858156706
180	0.3856416141
181	0.3853396259
182	0.3852935403
183	0.3847948628
184	0.3845225768
185	0.3844609058
186	0.3840563366
187	0.3837290974
188	0.3833556149
189	0.3830895767
190	0.3827559734
191	0.3825010578
192	0.3822101002
193	0.3817955407
194	0.3812657725
195	0.3810449356
196	0.3809914099
197	0.3806446371
198	0.3804641293
199	0.3803740771
200	0.3798609772
201	0.3795854252
202	0.3793709773
203	0.3790178547
204	0.3785548389
205	0.3783764308
206	0.3781063605
207	0.3778992495
208	0.377502056
209	0.3771681453
210	0.3769134526
211	0.3767302753
212	0.3766452223
213	0.3764340494
214	0.3763200007
215	0.3759986799
216	0.3756474891
217	0.3754176673
218	0.3752277774
219	0.3750515818
220	0.374987546
221	0.3746693034
222	0.3743542934
223	0.3740180438
224	0.3737937509
225	0.3735154232
226	0.3732905758
227	0.3731334882
228	0.3728955854
229	0.3725211811
230	0.3722243254
231	0.3719439609
232	0.3717200268
233	0.3715137493
234	0.3713285618
235	0.371159851
236	0.3711398097
237	0.3708589635
238	0.3706829051
239	0.3705791571
240	0.3703776377
241	0.3702317962
242	0.3699308197
243	0.3696885512
244	0.3695928792
245	0.3694928698
246	0.3691241454
247	0.3689436648
248	0.3686612329
249	0.3686204697
250	0.3683382423
251	0.3681517609
252	0.367927569
253	0.3676311985
254	0.3674727663
255	0.3673108782
256	0.3670515881
257	0.3669276501
258	0.3666385188
259	0.3664336641
260	0.3662683868
261	0.3662548108
262	0.3661384972
263	0.366053878
264	0.3658504917
265	0.3655344176
266	0.3653319819
267	0.3649781267
268	0.3647768651
269	0.3645555595
270	0.3643297887
271	0.3641304414
272	0.363903598
273	0.3636946088
274	0.3635756005
275	0.3634176916
276	0.3632891063
277	0.3632202239
278	0.3631026718
279	0.3628461215
280	0.362715847
281	0.3625831458
282	0.3624602511
283	0.3621408346
284	0.3619858892
285	0.3617914563
286	0.3614299278
287	0.3613627894
288	0.3612034494
289	0.3609853763
290	0.3608348798
291	0.3605041856
292	0.3602899184
293	0.3601280091
294	0.3600765966
295	0.3599844283
296	0.3598647622
297	0.35979655
298	0.3597881475
299	0.3596554361
300	0.3595137153
301	0.3592328567
302	0.3590898983
303	0.3589384345
304	0.3588333609
305	0.3585489477
306	0.3584344549
307	0.3582723193
308	0.3581415336
309	0.3579157464
310	0.357792732
311	0.3577874075
312	0.3576090464
313	0.3574934987
314	0.3572985374
315	0.3571780245
316	0.3570871551
317	0.3570668656
318	0.3568991709
319	0.356724219
320	0.3566926347
321	0.3565764262
322	0.3564822186
323	0.3563525972
324	0.3561998732
325	0.3561567425
326	0.3559599135
327	0.3558083734
328	0.3557822516
329	0.3557402699
330	0.3556482733
331	0.3555859911
332	0.3555570414
333	0.3552459413
334	0.3550600145
335	0.3549208513
336	0.3547092342
337	0.3544351457
338	0.354291184
339	0.3542127712
340	0.3540123299
341	0.3538619594
342	0.3536598539
343	0.3535410387
344	0.3532169784
345	0.3530318114
346	0.3528913445
347	0.3527561524
348	0.3526683109
349	0.352429681
350	0.3520378839
351	0.3520007204
352	0.3517830613
353	0.351753704
354	0.3516457977
355	0.3516253845
356	0.3513377793
357	0.3511817782
358	0.3510610465
359	0.3509650471
360	0.3508346533
361	0.3507790679
362	0.3506132953
363	0.3504230758
364	0.350340278
365	0.3502123311
366	0.3500813535
367	0.3499362874
368	0.3498159448
369	0.3497274049
370	0.3496074135
371	0.3494716517
372	0.3492875573
373	0.3490032832
374	0.3489537253
375	0.3488185526
376	0.3487028955
377	0.3485941872
378	0.3484502385
379	0.3483093495
380	0.3481223474
381	0.3480530992
382	0.3478993993
383	0.3478410984
384	0.3477709857
385	0.3476354131
386	0.3475073841
387	0.3474066095
388	0.3472830137
389	0.3472562838
390	0.3472157683
391	0.3471083413
392	0.346981638
393	0.3469130507
394	0.3468056959
395	0.3465774169
396	0.3463479014
397	0.3461781736
398	0.3460294338
399	0.3460093459
400	0.3459331868
401	0.3458866774
402	0.345808293
403	0.3456232312
404	0.3453767943
405	0.3452782696
406	0.3452132556
407	0.3450845545
408	0.344927333
409	0.3448225007
410	0.3447345989
411	0.3445817419
412	0.3445313192
413	0.344305718
414	0.3442814286
415	0.344115672
416	0.3440753239
417	0.3439727298
418	0.3438615121
419	0.3437957567
420	0.3436752426
421	0.3436171815
422	0.3434828371
423	0.3434259719
424	0.3433525571
425	0.3431326395
426	0.3430716207
427	0.3428909353
428	0.3427428545
429	0.3427059664
430	0.3425433677
431	0.3425140686
432	0.3423871477
433	0.3423303902
434	0.3422870075
435	0.3420815979
436	0.3418998058
437	0.3418620793
438	0.3417911803
439	0.3415360145
440	0.3414900751
441	0.3411550277
442	0.3410501312
443	0.3409052129
444	0.3406609642
445	0.3406174447
446	0.3405903743
447	0.3405274721
448	0.3404800794
449	0.340371564
450	0.3401789867
451	0.3400812414
452	0.3400011121
453	0.3398901153
454	0.3397360426
455	0.3396580937
456	0.3395555173
457	0.3395323091
458	0.3393050486
459	0.3392785811
460	0.3392109744
461	0.3391526961
462	0.3389231071
463	0.3386732328
464	0.3384023882
465	0.3383371225
466	0.3382977341
467	0.3382324627
468	0.3381677449
469	0.3381181129
470	0.3378892638
471	0.3378663249
472	0.3377846316
473	0.3376482527
474	0.3375190304
475	0.3374077308
476	0.3372941171
477	0.3371977881
478	0.3371293654
479	0.3370722109
480	0.336980448
481	0.3369199449
482	0.3367530376
483	0.336621562
484	0.3364013351
485	0.3363044768
486	0.3360257754
487	0.3356394676
488	0.3354350289
489	0.3353386626
490	0.3352471993
491	0.3350646674
492	0.3350455096
493	0.33480161
494	0.3347521975
495	0.3346801603
496	0.3345590463
497	0.3342901378
498	0.3342632175
499	0.3340378351
500	0.3337274815
501	0.3334978802
502	0.3334394453
503	0.333420071
504	0.3333026009
505	0.3331576784
506	0.3330417231
507	0.3330224863
508	0.3329763858
509	0.3329450264
510	0.3329014034
511	0.3327470428
512	0.3326158498
513	0.3325612614
514	0.3324663989
515	0.33229124
516	0.3320974576
517	0.3320547846
518	0.3319142308
519	0.3318587012
520	0.3317676319
521	0.3316857791
522	0.3315824506
523	0.3315363662
524	0.3314519029
525	0.3313974215
526	0.3312405904
527	0.3310920036
528	0.3309432355
529	0.3307217779
530	0.3306131486
531	0.3305151655
532	0.3304257361
533	0.3303062593
534	0.3302203686
535	0.3300199628
536	0.3297052468
537	0.3295934636
538	0.3294521197
539	0.32943911
540	0.3293618201
541	0.329261149
542	0.3291859677
543	0.3290096924
544	0.3289825378
545	0.3287787126
546	0.3287214949
547	0.32869164
548	0.3284844673
549	0.3284002858
550	0.3282121873
551	0.328154938
552	0.3280763679
553	0.3280758993
554	0.3279774606
555	0.3277118432
556	0.3276333102
557	0.3274808929
558	0.3273738559
559	0.3271842257
560	0.3270915035
561	0.3270368925
562	0.3268766344
563	0.3268232336
564	0.3267298277
565	0.3264110354
566	0.3261847146
567	0.3261073129
568	0.3258563129
569	0.3257037135
570	0.3255400638
571	0.325411234
572	0.3253412297
573	0.3251837275
574	0.3251087176
575	0.3249467924
576	0.3248663807
577	0.3246473683
578	0.324527009
579	0.3244148556
580	0.3243534468
581	0.3243110973
582	0.3241385816
583	0.3238380405
584	0.3237779932
585	0.3236486093
586	0.323579864
587	0.323540354
588	0.3234833017
589	0.3233906536
590	0.3231970158
591	0.3230303216
592	0.3229386871
593	0.322859763
594	0.3226351692
595	0.3226236443
596	0.3225102185
597	0.3223487352
598	0.3221908505
599	0.3220944902
600	0.3220474625
601	0.3220339104
602	0.3219682326
603	0.3219272213
604	0.3217596498
605	0.3216926495
606	0.321560034
607	0.3214342034
608	0.3213562883
