iter	Passed	Remaining
441	1327	1675
442	1331	1673
443	1337	1674
444	1339	1670
445	1343	1669
446	1346	1665
447	1350	1664
448	1354	1662
449	1357	1659
450	1360	1656
451	1364	1654
452	1367	1651
453	1370	1647
454	1372	1644
455	1375	1641
456	1379	1639
457	1381	1635
458	1385	1632
459	1387	1629
460	1390	1625
461	1393	1622
462	1396	1620
463	1399	1616
464	1403	1614
465	1406	1611
466	1409	1608
467	1411	1604
468	1414	1601
469	1418	1599
470	1421	1596
471	1425	1594
472	1428	1591
473	1431	1588
474	1433	1584
475	1436	1581
476	1439	1578
477	1442	1575
478	1445	1572
479	1449	1570
480	1453	1568
481	1456	1565
482	1460	1562
483	1461	1558
484	1464	1555
485	1468	1553
486	1471	1550
487	1474	1546
488	1477	1543
489	1479	1540
490	1483	1537
491	1487	1535
492	1489	1532
493	1492	1528
494	1494	1524
495	1497	1521
496	1500	1519
497	1504	1516
498	1507	1513
499	1510	1510
500	1513	1507
501	1516	1503
502	1518	1500
503	1520	1495
504	1522	1492
505	1525	1488
506	1528	1486
507	1530	1482
508	1532	1478
509	1535	1475
510	1538	1472
511	1541	1469
512	1544	1466
513	1547	1463
514	1550	1460
515	1553	1457
516	1559	1456
517	1562	1454
518	1565	1450
519	1568	1447
520	1572	1445
521	1575	1442
522	1577	1438
523	1580	1435
524	1582	1431
525	1585	1428
526	1588	1425
527	1590	1421
528	1592	1418
529	1595	1415
530	1598	1411
531	1601	1408
532	1603	1405
533	1606	1401
534	1608	1397
535	1610	1394
536	1613	1390
537	1615	1387
538	1618	1384
539	1621	1381
540	1623	1377
541	1626	1374
542	1629	1371
543	1632	1368
544	1635	1365
545	1638	1362
546	1640	1358
547	1642	1354
548	1646	1352
549	1648	1349
550	1651	1345
551	1653	1342
552	1656	1339
553	1658	1335
554	1661	1331
555	1663	1328
556	1666	1325
557	1669	1322
558	1671	1318
559	1674	1315
560	1677	1312
561	1679	1309
562	1682	1305
563	1685	1302
564	1688	1300
565	1691	1296
566	1693	1293
567	1696	1290
568	1699	1287
569	1701	1283
570	1705	1281
571	1709	1278
572	1712	1276
573	1715	1273
574	1719	1270
575	1723	1268
576	1727	1266
577	1730	1263
578	1733	1260
579	1739	1259
580	1743	1257
581	1746	1254
582	1751	1252
583	1754	1249
584	1757	1246
585	1759	1243
586	1762	1239
587	1766	1237
588	1769	1234
589	1772	1231
590	1775	1228
591	1778	1226
592	1782	1223
593	1785	1220
594	1787	1216
595	1788	1212
596	1791	1209
597	1795	1207
598	1799	1204
599	1802	1201
600	1804	1198
601	1807	1195
602	1810	1192
603	1814	1189
604	1816	1186
605	1819	1183
606	1822	1180
607	1825	1177
608	1828	1173
609	1832	1171
610	1836	1169
611	1840	1166
612	1843	1163
613	1846	1160
614	1848	1157
615	1852	1154
616	1856	1152
617	1858	1148
618	1861	1145
619	1863	1142
620	1870	1141
621	1873	1138
622	1876	1135
623	1878	1132
624	1882	1129
625	1886	1126
626	1888	1123
627	1891	1120
628	1894	1117
629	1897	1114
630	1900	1111
631	1903	1108
632	1905	1104
633	1908	1101
634	1911	1098
635	1914	1095
636	1917	1092
637	1919	1089
638	1923	1086
639	1927	1084
640	1930	1081
641	1934	1078
642	1937	1075
643	1940	1072
644	1943	1069
645	1945	1066
646	1947	1062
647	1950	1059
648	1952	1055
649	1956	1053
650	1960	1050
651	1962	1047
652	1965	1044
653	1968	1041
654	1971	1038
655	1973	1035
656	1976	1031
657	1979	1028
658	1981	1025
659	1985	1022
660	1988	1020
661	1991	1016
662	1994	1013
663	1996	1010
664	2000	1007
665	2003	1004
666	2005	1001
667	2008	998
668	2011	995
669	2013	991
670	2016	988
671	2019	985
672	2022	982
673	2025	979
674	2030	977
675	2034	974
676	2036	971
677	2039	968
678	2042	965
679	2046	963
680	2049	960
681	2052	957
682	2055	953
683	2058	950
684	2060	947
685	2065	945
686	2068	942
687	2070	938
688	2073	935
689	2076	933
690	2080	930
691	2083	927
692	2085	924
693	2089	921
694	2093	918
695	2095	915
696	2097	911
697	2099	908
698	2103	905
699	2107	903
700	2111	900
701	2114	897
702	2117	894
703	2121	892
704	2124	889
705	2127	885
706	2130	882
707	2133	879
708	2136	876
709	2139	874
710	2142	870
711	2145	867
712	2149	865
713	2151	861
714	2154	858
715	2157	855
716	2159	852
717	2161	849
718	2165	846
719	2168	843
720	2171	840
721	2174	837
722	2177	834
723	2180	831
724	2183	828
725	2185	824
726	2188	821
727	2193	819
728	2197	816
729	2199	813
730	2202	810
731	2205	807
732	2208	804
733	2211	801
734	2214	798
735	2217	795
736	2219	792
737	2222	789
738	2226	786
739	2229	783
740	2232	780
741	2234	777
742	2238	774
743	2241	771
744	2244	768
745	2247	765
746	2249	761
747	2253	759
748	2255	755
749	2258	752
750	2261	749
751	2263	746
752	2266	743
753	2269	740
754	2272	737
755	2274	734
756	2277	731
757	2280	727
758	2282	724
759	2285	721
760	2288	718
761	2291	715
762	2294	712
763	2296	709
764	2299	706
765	2302	703
766	2304	700
767	2307	696
768	2309	693
769	2314	691
770	2316	688
771	2319	684
772	2322	682
773	2325	679
774	2329	676
775	2332	673
776	2335	670
777	2338	667
778	2341	664
779	2344	661
780	2347	658
781	2350	655
782	2353	652
783	2357	649
784	2360	646
785	2363	643
786	2366	640
787	2370	637
788	2374	634
789	2376	631
790	2380	628
791	2384	626
792	2389	623
793	2392	620
794	2394	617
795	2397	614
796	2399	611
797	2403	608
798	2405	605
799	2407	601
800	2411	599
801	2415	596
802	2419	593
803	2422	590
804	2424	587
805	2428	584
806	2431	581
807	2434	578
808	2436	575
809	2439	572
810	2442	569
811	2446	566
812	2449	563
813	2451	560
814	2454	557
815	2456	554
816	2459	550
817	2462	547
818	2465	544
819	2467	541
820	2470	538
821	2474	535
822	2477	532
823	2479	529
824	2481	526
825	2483	523
826	2486	520
827	2490	517
828	2492	514
829	2495	511
830	2498	508
831	2502	505
832	2505	502
833	2508	499
834	2510	496
835	2513	493
836	2515	489
837	2518	486
838	2521	483
839	2524	480
840	2526	477
841	2529	474
842	2532	471
843	2536	468
844	2538	465
845	2540	462
846	2543	459
847	2546	456
848	2549	453
849	2553	450
850	2555	447
851	2558	444
852	2560	441
853	2563	438
854	2566	435
855	2569	432
856	2571	429
857	2574	426
858	2576	422
859	2579	419
860	2582	416
861	2584	413
862	2586	410
863	2590	407
864	2593	404
865	2596	401
866	2599	398
867	2602	395
868	2604	392
869	2607	389
870	2610	386
871	2612	383
872	2615	380
873	2618	377
874	2620	374
875	2624	371
876	2626	368
877	2630	365
878	2633	362
879	2636	359
880	2640	356
881	2642	353
882	2644	350
883	2647	347
884	2649	344
885	2652	341
886	2655	338
887	2658	335
888	2661	332
889	2663	329
890	2665	326
891	2669	323
892	2672	320
893	2674	317
894	2676	314
895	2678	310
896	2681	307
897	2684	304
898	2688	302
899	2692	299
900	2695	296
901	2698	293
902	2701	290
903	2704	287
904	2707	284
905	2709	281
906	2715	278
907	2719	275
908	2722	272
909	2725	269
910	2729	266
911	2732	263
912	2735	260
913	2737	257
914	2740	254
915	2744	251
916	2746	248
917	2750	245
918	2752	242
919	2754	239
920	2758	236
921	2760	233
922	2763	230
923	2765	227
924	2768	224
925	2771	221
926	2773	218
927	2777	215
928	2780	212
929	2782	209
930	2785	206
931	2788	203
932	2791	200
933	2794	197
934	2796	194
935	2798	191
936	2801	188
937	2804	185
938	2807	182
939	2810	179
940	2813	176
941	2817	173
942	2819	170
943	2823	167
944	2825	164
945	2828	161
946	2830	158
947	2833	155
948	2836	152
949	2839	149
950	2841	146
951	2844	143
952	2847	140
953	2850	137
954	2852	134
955	2854	131
956	2857	128
957	2860	125
958	2864	122
959	2867	119
960	2870	116
961	2873	113
962	2876	110
963	2879	107
964	2882	104
965	2885	101
966	2888	98
967	2891	95
968	2895	92
969	2898	89
970	2901	86
971	2905	83
972	2908	80
973	2912	77
974	2915	74
975	2917	71
976	2922	68
977	2924	65
978	2927	62
979	2930	59
980	2933	56
981	2937	53
982	2940	50
983	2943	47
984	2946	44
985	2948	41
986	2952	38
987	2955	35
988	2958	32
989	2960	29
990	2963	26
991	2966	23
992	2968	20
993	2971	17
994	2974	14
995	2976	11
996	2978	8
997	2981	5
998	2984	2
999	2986	0
